,text
1554,"(""we have also we 've also got"", 1)"
1555,"('effective truly effective', 1)"
1556,"('Because since', 1)"
1557,"('Despite the fact that Even though', 1)"
1558,"('Try to use Use', 1)"
1559,"(""have not missed have n't missed"", 1)"
1560,"(""you have to you 've got to really"", 1)"
1561,"('Do avoid Also , avoid', 1)"
1562,"(""We can share We 'll share"", 1)"
1563,"('would would also', 1)"
1564,"(', –', 1)"
1565,"(""make 'll be making"", 1)"
1566,"(""We have probably We 've probably"", 1)"
1567,"('That way , That way', 1)"
1568,"('You can Then you can', 1)"
1569,"('We create We then create', 1)"
1570,"('types kinds', 1)"
1571,"(""That is a huge shift That 's a huge shift"", 1)"
1572,"(', …', 1)"
1573,"(""they are receiving you 're giving them"", 1)"
1574,"('there are Well , there you go ...', 1)"
1575,"('we are The fact is', 1)"
1576,"('I suggest reading Read', 1)"
1577,"('news news , though ,', 1)"
1578,"('and correct ( and correct )', 1)"
1579,"('The So , the', 1)"
1580,"('Unfortunately Unfortunately , though', 1)"
1581,"(""It is Because it 's"", 1)"
1582,"('opinions about insights into', 1)"
1583,"(""You 'll you 'll"", 1)"
1584,"('Also , please And please also', 1)"
1585,"('advertisements ads', 1)"
1586,"('got also got', 1)"
1587,"('correct just right', 1)"
1588,"(""they will not they wo n't"", 1)"
1589,"('In it , In it', 1)"
1590,"(""the one you are using the one you 're using"", 1)"
1591,"('ready truly ready', 1)"
1592,"(""If you are already a good writer If you 're already a good writer"", 1)"
1593,"(""I am it 's"", 1)"
1594,"('Remember that Remember', 1)"
1595,"('Acrolinx Acrolinx ,', 1)"
1596,"('Some people Some', 1)"
1597,"('You But you', 1)"
1598,"('You should stop Stop', 1)"
1599,"('Things You know , things', 1)"
1600,"('Check See', 1)"
1601,"(""it has that 's"", 1)"
1602,"('believed thought', 1)"
1603,"(""We will continue We 'll continue"", 1)"
1604,"(', and at times Harvard-centric , ( and at times Harvard-centric )', 1)"
1605,"('Wow Yikes', 1)"
1606,"('missed sorely missed', 1)"
1607,"(""they are vague they 're vague"", 1)"
1608,"(""but if we did not however , if we did n't"", 1)"
1609,"('should be should really be', 1)"
1610,"('problems issues', 1)"
1611,"(""There is also the question There 's also the question"", 1)"
1612,"(""I would like to point out I 'd like to point out"", 1)"
1613,"('Please use Use', 1)"
1614,"('long long , long', 1)"
1615,"('Since So since', 1)"
1616,"('We Admittedly , we', 1)"
1617,"(""It is important to pay attention it 's critical to pay attention"", 1)"
1618,"(""are unable to obtain ca n't get"", 1)"
1619,"('There Of course , there', 1)"
1620,"('One And one', 1)"
1621,"('quite really', 1)"
1622,"(""do not Uh , do n't"", 1)"
1623,"('secret trick', 1)"
1624,"('You should begin small That said , start small', 1)"
1625,"(""is located 's at"", 1)"
1626,"('They In fact , those', 1)"
1627,"('Rather than Instead of', 1)"
1628,"('You need to sit So sit', 1)"
1629,"(""have not That 's OK , most"", 1)"
1630,"(""may not could n't"", 1)"
1631,"('In addition So in addition', 1)"
1632,"(', so that so that', 1)"
1633,"('Depending In fact , depending', 1)"
1634,"(""We do not We do n't"", 1)"
1635,"('Does But does', 1)"
1636,"('no absolutely no', 1)"
1637,"(""It is a tool It 's a tool"", 1)"
1638,"('I hope that Hopefully', 1)"
1639,"('We Of course , we', 1)"
1640,"(""you will learn you 'll learn"", 1)"
1641,"(""They are all great resources They 're all great resources"", 1)"
1642,"(""your audience will not do anything your audience wo n't do anything"", 1)"
1643,"('How do So how do', 1)"
1644,"('It But it', 1)"
1645,"('enjoy Hopefully', 1)"
1646,"('So , why So why', 1)"
1647,"('We But , we', 1)"
1648,"('it it also', 1)"
1649,"(""it would it 'd"", 1)"
1650,"('list radar', 1)"
1651,"('but but hey', 1)"
1652,"('It And that', 1)"
1653,"('Picture Imagine', 1)"
1654,"('People And people', 1)"
1655,"('How do And how do', 1)"
1656,"('In our opinion In our view', 1)"
1657,"('You can improve Or you can improve', 1)"
1658,"(""It is a free tool It 's a free tool"", 1)"
1659,"('You should sign Sign', 1)"
1660,"(""It is like It 's like"", 1)"
1661,"('You can use Use', 1)"
1662,"('a also a', 1)"
1663,"('Additionally , And ,', 1)"
1664,"('Begin Start', 1)"
1665,"('technology tech', 1)"
1666,"('however Although', 1)"
1667,"(""you have not had to you 've not only got to"", 1)"
1668,"('It is Language is', 1)"
1669,"('You should stay tuned Stay tuned', 1)"
1670,"('Make That is , make', 1)"
1671,"('your ability to communicate how you communicate', 1)"
1672,"('no one Nobody', 1)"
1673,"('should require needs to', 1)"
1674,"('You should always take So always take', 1)"
1675,"(""Most have n't"", 1)"
1676,"('You Now , you', 1)"
1677,"(""they will they 're going to"", 1)"
1678,"('become familiar with know', 1)"
1679,"('way even way , even', 1)"
1680,"(""we are yes , we 're"", 1)"
1681,"('At Now at', 1)"
1682,"('Most And most', 1)"
1683,"('does really does', 1)"
1684,"('might might just', 1)"
1685,"('should need to', 1)"
1686,"('we All told we', 1)"
1687,"(""that is relevant that 's relevant"", 1)"
1688,"('It is possible for them to understand They can know', 1)"
1689,"('would absolutely would', 1)"
1690,"('and …', 1)"
1691,"('it Admittedly , it', 1)"
1692,"(""That is And that 's just"", 1)"
1693,"('Is there any explaination to Any guesses as to', 1)"
1694,"(', regardless of no matter', 1)"
1695,"(""It is easy it 's easy"", 1)"
1696,"('work hard work really hard', 1)"
1697,"('would like wanted', 1)"
1698,"(""We can not wait we ca n't wait"", 1)"
1699,"('Just And just', 1)"
1700,"('think think that', 1)"
1701,"('You should put Put', 1)"
1702,"('It looks like Looks like', 1)"
1703,"('You But do', 1)"
1704,"('It would mean That means', 1)"
1705,"('back , back', 1)"
1706,"('Be Make', 1)"
1707,"('more difficult harder', 1)"
1708,"('all ten questions all 10 questions', 1)"
1709,"('This Yes , this', 1)"
1710,"('the majority most', 1)"
1711,"(""you will need to speak you 'll need to speak"", 1)"
1712,"("". We would — we 'd"", 1)"
1713,"('agree absolutely agree', 1)"
1714,"('Focus on what matters most Figure out what matters most', 1)"
1715,"('You That way , you', 1)"
1716,"(""you are using you 're using"", 1)"
1717,"('It And , unfortunately , that', 1)"
1718,"('Many A lot of', 1)"
1719,"('If By the way , if', 1)"
1720,"(""now is now 's"", 1)"
1721,"('What And how', 1)"
1722,"(""that it is it 's"", 1)"
1723,"(""we are likely to see we 're likely to see"", 1)"
1724,"(""It is After all , it 's"", 1)"
1725,"('to just to', 1)"
1726,"('24 just 24', 1)"
1727,"('We Alas , we', 1)"
1728,"('It sounds Sound', 1)"
1729,"('we must not only know we not only need to know', 1)"
1730,"('the content it', 1)"
1731,"('would like to want to', 1)"
1732,"(""you have you 've also got"", 1)"
1733,"('If actually , if', 1)"
1734,"('To start For starters ,', 1)"
1735,"('But But ,', 1)"
1736,"('ones , ones', 1)"
1737,"('starting just getting started', 1)"
1738,"('silly insane', 1)"
1739,"(""it does not have to it does n't have to"", 1)"
1740,"(""you have you 've really got"", 1)"
1741,"('That means that it is not only That means not only', 1)"
1742,"('that And that', 1)"
1743,"('that you should consider to consider', 1)"
1744,"('Your Then , your', 1)"
1745,"('By Then , by', 1)"
1746,"(""we are going to we 're going to"", 1)"
1747,"(""not n't"", 1)"
1748,"('In my opinion , Yet', 1)"
